Running object 17999
('ROW:', 17999, 'Tau:', '2.930635198725901', 'V:', '-0.5747739228920569', 'dMu:', '-0.036314921025907596')
         12253849 function calls (12171010 primitive calls) in 95.101 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1081    0.005    0.000    0.005    0.000 {method 'round' of 'numpy.ndarray' objects}
     6719    0.005    0.000    0.009    0.000 pyparsing.py:340(__new__)
     1847    0.005    0.000    0.006    0.000 lines.py:1198(set_markerfacecolor)
     2841    0.005    0.000    0.011    0.000 {method 'sort' of 'list' objects}
     2172    0.005    0.000    0.019    0.000 column.py:986(_determine_formats)
      939    0.005    0.000    0.008    0.000 copy.py:306(_reconstruct)
      502    0.005    0.000    0.034    0.000 ticker.py:1703(set_params)
     1160    0.005    0.000    0.022    0.000 function_base.py:5114(append)
      493    0.005    0.000    0.017    0.000 ticker.py:1695(_staircase)
    23794    0.005    0.000    0.005    0.000 artist.py:236(axes)
     1448    0.005    0.000    0.012    0.000 column.py:202(__new__)
      449    0.005    0.000    0.010    0.000 transforms.py:1910(rotate)
      622    0.005    0.000    0.005    0.000 version.py:343(_cmpkey)
     8657    0.004    0.000    0.005    0.000 {method 'update' of 'dict' objects}
     1847    0.004    0.000    0.006    0.000 lines.py:1019(set_drawstyle)
     2044    0.004    0.000    0.007    0.000 text.py:1204(set_text)
     4001    0.004    0.000    0.009    0.000 lines.py:68(_scale_dashes)
       24    0.004    0.000    0.031    0.001 __init__.py:1060(_rc_params_in_file)
     1745    0.004    0.000    0.012    0.000 shape_base.py:11(atleast_1d)
     1975    0.004    0.000    0.008    0.000 lines.py:39(_get_dash_pattern)
      332    0.004    0.000    0.091    0.000 artist.py:667(set_clip_path)
      801    0.004    0.000    0.004    0.000 {method 'rand' of 'mtrand.RandomState' objects}
      108    0.004    0.000    0.030    0.000 _base.py:2276(handle_single_axis)
    12470    0.004    0.000    0.004    0.000 {method 'lower' of 'unicode' objects}
     5228    0.004    0.000    0.006    0.000 weakref.py:56(remove)
      324    0.004    0.000    0.004    0.000 {method 'accumulate' of 'numpy.ufunc' objects}
      804    0.004    0.000    0.048    0.000 markers.py:701(_set_tickleft)
     5088    0.004    0.000    0.015    0.000 colors.py:107(_is_nth_color)
      144    0.004    0.000    0.012    0.000 utils.py:42(_iter_unit_summary)
     6029    0.004    0.000    0.004    0.000 {max}
     1847    0.004    0.000    0.013    0.000 lines.py:753(set_transform)
      804    0.004    0.000    0.046    0.000 markers.py:707(_set_tickright)
     2433    0.004    0.000    0.046    0.000 backend_bases.py:1012(set_foreground)
     1231    0.004    0.000    0.026    0.000 transforms.py:2648(__init__)
    11522    0.004    0.000    0.004    0.000 {min}
    40887    0.004    0.000    0.004    0.000 {id}
     1847    0.004    0.000    0.006    0.000 lines.py:1419(set_dash_joinstyle)
    16190    0.004    0.000    0.004    0.000 {method 'group' of '_sre.SRE_Match' objects}
     3917    0.004    0.000    0.029    0.000 utils.py:176(sanitize_scale)
     1682    0.004    0.000    0.010    0.000 linalg.py:105(_makearray)
     1847    0.004    0.000    0.175    0.000 lines.py:1156(set_marker)
       38    0.004    0.000    0.004    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      149    0.004    0.000    0.079    0.001 backend_pdf.py:1709(draw_markers)
    11754    0.004    0.000    0.004    0.000 transforms.py:1853(get_matrix)
      181    0.004    0.000    0.004    0.000 {method 'read' of 'file' objects}
        1    0.004    0.004    0.119    0.119 colorbar.py:20(<module>)
2943/1303    0.004    0.000    0.123    0.000 _base.py:768(get_yaxis_transform)
     1847    0.004    0.000    0.006    0.000 lines.py:1472(set_solid_capstyle)
     1561    0.004    0.000    0.009    0.000 text.py:238(update)
     1448    0.004    0.000    0.006    0.000 card.py:225(keyword)
     2257    0.004    0.000    0.261    0.000 markers.py:163(__init__)
     2920    0.004    0.000    0.004    0.000 {method 'rsplit' of 'str' objects}
     1472    0.004    0.000    0.007    0.000 card.py:676(_parse_keyword)
     2648    0.004    0.000    0.014    0.000 transforms.py:1770(transform_point)
     1847    0.004    0.000    0.158    0.000 lines.py:548(set_fillstyle)
     9290    0.004    0.000    0.004    0.000 {method 'split' of 'unicode' objects}
      327    0.004    0.000    0.009    0.000 core.py:2934(__array_finalize__)
      242    0.004    0.000    0.012    0.000 ticker.py:1676(_validate_steps)
     1218    0.003    0.000    0.005    0.000 linalg.py:208(_assertNdSquareness)
     1847    0.003    0.000    0.007    0.000 lines.py:1039(set_linewidth)
        1    0.003    0.003   95.135   95.135 ClusterEmcee2_newprob_mu.py:2(<module>)
      320    0.003    0.000    0.140    0.000 axis.py:575(_get_gridline)
     3949    0.003    0.000    0.061    0.000 transforms.py:1173(__add__)
     1847    0.003    0.000    0.005    0.000 lines.py:1222(set_markersize)
     1061    0.003    0.000    0.003    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       11    0.003    0.000    0.011    0.001 artist.py:1145(_get_setters_and_targets)
        1    0.003    0.003    0.008    0.008 __init__.py:169(<module>)
        1    0.003    0.003    0.042    0.042 collections.py:1836(convert_mesh_to_paths)
      522    0.003    0.000    0.007    0.000 path.py:172(_fast_from_codes_and_verts)
      684    0.003    0.000    0.040    0.000 markers.py:721(_set_tickdown)
    10069    0.003    0.000    0.007    0.000 sre_parse.py:207(match)
     2429    0.003    0.000    0.006    0.000 lines.py:1233(set_xdata)
      340    0.003    0.000    0.060    0.000 patches.py:704(_update_patch_transform)
    10368    0.003    0.000    0.003    0.000 weakref.py:71(_commit_removals)
     7329    0.003    0.000    0.003    0.000 {method 'find' of 'str' objects}
        5    0.003    0.001    0.035    0.007 __init__.py:3(<module>)
     3529    0.003    0.000    0.013    0.000 re.py:138(match)
2658/1146    0.003    0.000    0.118    0.000 _base.py:688(get_xaxis_transform)
     1847    0.003    0.000    0.011    0.000 lines.py:653(set_data)
     1358    0.003    0.000    0.024    0.000 core.py:1919(__init__)
      684    0.003    0.000    0.038    0.000 markers.py:715(_set_tickup)
