,filter,time,field,noise
109,g,57800.07624065,173.0,0.0023
249,r,57800.0786031,173.0,0.0021000000000000003
395,i,57800.08065918,173.0,0.0022
658,z,57800.08332174,173.0,0.0018000000000000002
659,z,57800.0859375,173.0,0.0018000000000000002
110,g,57989.36328125,173.0,0.0023
250,r,57989.36646268,173.0,0.0021000000000000003
396,i,57989.36853644,173.0,0.0022
660,z,57989.37109375,173.0,0.0018000000000000002
661,z,57989.375,173.0,0.0018000000000000002
111,g,57994.2734375,173.0,0.0023
251,r,57994.27719483,173.0,0.0021000000000000003
397,i,57994.27927646,173.0,0.0022
662,z,57994.28125,173.0,0.0018000000000000002
663,z,57994.28515625,173.0,0.0018000000000000002
252,r,57995.2890625,173.0,0.0021000000000000003
112,g,57995.34375,173.0,0.0023
253,r,57995.3458315,173.0,0.0021000000000000003
398,i,57995.3479014,173.0,0.0022
665,z,57995.35053718,173.0,0.0018000000000000002
664,z,57995.35318798,173.0,0.0018000000000000002
113,g,57996.3359375,173.0,0.0023
254,r,57996.33923545,173.0,0.0021000000000000003
399,i,57996.34128891,173.0,0.0022
666,z,57996.34375,173.0,0.0018000000000000002
667,z,57996.34765625,173.0,0.0018000000000000002
255,r,57999.35749192,173.0,0.0021000000000000003
400,i,57999.35954916,173.0,0.0022
